cms_txn_sk,sales_cust_id,sales_tran_id,sales_order_id,sales_item_quantity,sales_order_dt,cms_store_sk,sales_store_id,sales_store_name,sales_channel,sales_region_name,cms_product_sk,sales_product_id,sales_product_name,sales_product_desc,sales_prd_style_id,sales_prd_style_name,sales_prd_style_desc,sales_prd_color_id,sales_prd_color_shade_name,sales_prd_size_id,sales_prd_size_name,sales_prd_fit,sales_prd_category_id,sales_prd_category_name,sales_prd_brand_id,sales_prd_brand_name,sales_csat,sales_sell_price,sales_discount_amt,promoter,detractor,passive,sales_launch_date,premium_prd,ship_mode,payment_preference,insert_dt,last_modified_dt,insert_by,last_modified_by,job_id,batch_id
1,JF-15295,txn4679,CA-2015-114510,3,2020-01-27,null,0,null,Delivery,null,1593,TEC-AC-10004877,Imation 30456 USB Flash Drive 8GB,null,4,Hip-Hop,null,2,Bright,2,Large,Regular,CAT003,Technology,null,Beautify,8,82.8,3.176857508,0,0,1,2019-11-23,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
2,GB-14575,txn4784,US-2018-147984,3,2020-01-18,null,0,null,Delivery,null,1071,OFF-PA-10000806,Xerox 1934,null,3,Casual,null,2,Light,2,Extra Large,Slim,CAT002,Office Supplies,null,Bounce,10,279.9,61.53091443,1,0,0,2019-11-16,N,Same Day,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
3,MC-17275,txn4850,CA-2015-107818,5,2020-01-13,null,0,null,Delivery,null,565,OFF-AR-10003045,Prang Colored Pencils,null,1,Casual,null,3,Dark,3,Small,Tapered,CAT002,Office Supplies,null,Beautify,7,5.88,1.231220408,0,0,1,2019-11-16,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
4,AS-10240,txn6215,CA-2015-128538,2,2019-12-14,null,0,null,Delivery,null,854,OFF-EN-10001219,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",null,3,Casual,null,4,Dark,2,Xtra Small,Slim,CAT002,Office Supplies,null,Catwomen,9,7.64,0.849437175,1,0,0,2019-10-01,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
5,FH-14275,txn7572,CA-2015-100916,2,2019-11-16,null,0,null,Online,null,1390,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",null,1,Party,null,1,Other,2,Small,Tapered,CAT002,Office Supplies,null,Trust Nom,9,194.7,2.370770725,1,0,0,2019-11-03,N,First Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
6,RF-19345,txn7616,CA-2015-148425,7,2019-11-16,null,0,null,Online,null,644,OFF-BI-10000201,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",null,4,Formal,null,1,Other,2,Small,Regular,CAT002,Office Supplies,null,Bounce,9,6.642,0.253894758,1,0,0,2019-10-06,N,Same Day,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
7,CG-12520,txn001,CA-2017-152156,5,2020-07-11,340,Store_001,Store001,Delivery,South,13,FUR-BO-10001798,Bush Somerset Collection Bookcase,null,1,Party,null,4,Light,1,Medium,Tapered,CAT001,Furniture,null,Aerodyne,2,261.96,6.55465192,0,1,0,2019-10-19,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
8,CG-12520,txn002,CA-2017-152156,6,2020-07-11,340,Store_001,Store001,Delivery,South,56,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",null,2,Hip-Hop,null,3,Light,3,Medium,Slim,CAT001,Furniture,null,Bounce,8,731.94,179.4517685,0,0,1,2019-10-05,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
9,DV-13045,txn003,CA-2017-138688,3,2020-07-11,358,Store_002,Store002,Online,West,944,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,null,1,Casual,null,1,Dark,3,Xtra Small,Tapered,CAT002,Office Supplies,null,Trust Nom,8,14.62,2.762551533,0,0,1,2019-12-03,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
10,SO-20335,txn004,US-2016-108966,1,2020-07-11,151,Store_003,Store003,Delivery,South,319,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,null,4,Casual,null,4,Bright,3,Large,Regular,CAT001,Furniture,null,Beautify,9,957.5775,37.87429145,1,0,0,2019-11-01,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
11,SO-20335,txn005,US-2016-108966,9,2020-07-11,151,Store_003,Store003,Delivery,South,1313,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,null,1,Party,null,2,Dark,1,Extra Large,Relaxed,CAT002,Office Supplies,null,Beautify,10,22.368,4.562090731,1,0,0,2019-11-22,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
12,BH-11710,txn006,CA-2015-115812,1,2020-07-11,15,Store_004,Store004,Delivery,West,185,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",null,3,Party,null,3,Dark,1,Extra Large,Slim,CAT001,Furniture,null,Trust Nom,8,48.86,0.406325971,0,0,1,2019-12-07,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
13,BH-11710,txn007,CA-2015-115812,8,2020-07-11,15,Store_004,Store004,Delivery,West,561,OFF-AR-10002833,Newell 322,null,3,Party,null,3,Other,3,Small,Regular,CAT002,Office Supplies,null,Bounce,7,7.28,1.680223451,0,0,1,2019-10-20,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
14,BH-11710,txn008,CA-2015-115812,4,2020-07-11,15,Store_004,Store004,Delivery,West,1754,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,null,2,Hip-Hop,null,3,Light,2,Xtra Small,Relaxed,CAT003,Technology,null,Trust Nom,8,907.152,9.469573417,0,0,1,2019-10-26,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
15,BH-11710,txn009,CA-2015-115812,3,2020-07-11,15,Store_004,Store004,Delivery,West,793,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,null,3,Hip-Hop,null,4,Bright,3,Medium,Slim,CAT002,Office Supplies,null,Beautify,9,18.504,3.8698773,1,0,0,2019-10-19,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
16,BH-11710,txn010,CA-2015-115812,2,2020-07-11,15,Store_004,Store004,Delivery,West,437,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,null,1,Casual,null,4,Bright,2,Extra Large,Regular,CAT002,Office Supplies,null,Aerodyne,10,114.9,0.47255652,1,0,0,2019-11-09,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
17,BH-11710,txn011,CA-2015-115812,7,2020-07-11,15,Store_004,Store004,Delivery,West,328,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,null,3,Party,null,4,Bright,2,Small,Relaxed,CAT001,Furniture,null,Bounce,10,1706.184,261.9114877,1,0,0,2019-11-16,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
18,BH-11710,txn012,CA-2015-115812,9,2020-07-11,15,Store_004,Store004,Delivery,West,1743,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,null,1,Formal,null,4,Other,3,Extra Large,Tapered,CAT003,Technology,null,Respont,10,911.424,34.55600762,1,0,0,2019-11-17,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
19,AA-10480,txn013,CA-2018-114412,7,2020-07-11,224,Store_005,Store005,Delivery,South,1164,OFF-PA-10002365,Xerox 1967,null,1,Casual,null,3,Dark,2,Medium,Regular,CAT002,Office Supplies,null,Bounce,10,15.552,1.435738149,1,0,0,2019-12-31,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
20,IM-15070,txn014,CA-2017-161389,8,2020-07-11,162,Store_006,Store006,Delivery,West,780,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,null,1,Hip-Hop,null,3,Bright,3,Xtra Small,Slim,CAT002,Office Supplies,null,Bounce,8,407.976,30.290228,0,0,1,2019-11-16,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
21,HP-14815,txn015,US-2016-118983,8,2020-07-11,307,Store_007,Store007,Curbside,Central,421,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",null,2,Formal,null,2,Bright,1,Large,Regular,CAT002,Office Supplies,null,Bounce,10,68.81,5.374468179,1,0,0,2019-12-03,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
22,HP-14815,txn016,US-2016-118983,1,2020-07-11,307,Store_007,Store007,Curbside,Central,662,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,null,4,Formal,null,5,Dark,3,Medium,Slim,CAT002,Office Supplies,null,Bounce,10,2.544,0.259843138,1,0,0,2019-10-12,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
