LocationID,measure_datetime,pedestrians,cars,trucks,bikes
41,2021-01-01 00:15:56,20323,12134,233,233
41,2021-01-01 11:25:59,1323,1234,136,423
42,2021-01-01 00:45:57,32321,32321,2324,5342
42,2020-12-31 23:57:51,23212,23212,3457,434
43,2021-01-01 17:16:36,10323,10323,3435,2323
74,2021-01-01 00:16:36,23223,23223,7853,1214
75,2021-01-01 05:19:14,10323,10323,322,532
166,2021-01-01 00:26:31,10323,10323,3453,677
168,2021-01-01 00:57:46,10323,80323,6445,567
225,2021-01-01 00:58:32,10323,10323,3433,232
225,2021-01-01 18:39:57,10323,10323,223,23235
265,2021-01-01 00:51:27,70323,70323,4343,2323
265,2021-01-01 00:29:05,10323,10323,4343,3254
265,2021-01-01 00:29:05,10323,10323,1388,6342
