TripID,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,total_amount
1,2,2021-01-01 00:15:56,2021-01-01 00:19:52,43,151,1.01,6.8
2,22,2021-01-01 11:25:59,2021-01-01 11:34:44,166,239,2.53,16.86
3,23,2021-01-01 00:45:57,2021-01-01 00:51:55,41,42,1.12,8.3
4,24,2020-12-31 23:57:51,2021-01-01 23:04:56,168,75,1.99,9.3
5,25,2021-01-01 17:16:36,2021-01-01 17:16:40,265,265,0,-52.8
6,12,2021-01-01 00:16:36,2021-01-01 00:16:40,265,265,0,52.8
7,42,2021-01-01 05:19:14,2021-01-01 00:19:21,265,265,0,216.36
8,52,2021-01-01 00:26:31,2021-01-01 00:28:50,75,75,0.45,5.76
9,2,2021-01-01 00:57:46,2021-01-01 00:57:57,225,225,0,3.8
10,32,2021-01-01 00:58:32,2021-01-01 01:32:34,225,265,12.19,42.05
11,2,2021-01-01 18:39:57,2021-01-01 18:55:25,74,60,5.48,19.3
12,15,2021-01-01 00:51:27,2021-01-01 00:57:20,42,41,0.9,7.3
13,15,2021-01-01 00:29:05,2021-01-01 00:29:07,42,264,9.00E-02,12.36
