user_id,purchase_date,purchase_amount
1,2021-01-01,0.33
1,2021-03-03,574.35
1,2021-01-03,796.07
2,2021-01-04,342.15
2,2021-03-05,280.46
2,2021-01-06,664.18
3,2021-01-07,359.02
3,2021-01-08,357.12
3,2021-01-09,845.40
4,2021-01-10,103.92
4,2021-02-21,670.12
4,2021-02-12,698.65
5,2021-01-13,110.52
5,2021-01-14,931.72
5,2021-02-15,388.14
6,2021-01-16,822.96
6,2021-01-17,292.39
6,2021-01-18,524.76
7,2021-01-19,262.00
7,2021-03-20,715.94
7,2021-01-21,345.70
8,2021-01-22,379.00
8,2021-01-23,194.96
8,2021-01-24,862.33
9,2021-01-25,430.41
9,2021-01-26,398.72
9,2021-02-27,158.52
10,2021-01-28,550.01
10,2021-03-02,157.88
10,2021-03-03,528.43
